id,fico_range_high,sub_grade
0,754.0,C1
1,714.0,A3
2,689.0,D1
3,669.0,D4
4,689.0,C3
5,684.0,C3
6,689.0,B5
7,704.0,B4
8,669.0,C4
9,749.0,B4
10,679.0,B5
11,684.0,D5
12,679.0,C3
13,694.0,E5
14,664.0,B3
15,674.0,C5
16,684.0,B3
17,704.0,D2
18,684.0,C4
19,694.0,E3
20,689.0,C1
21,734.0,B3
22,709.0,C1
23,669.0,C5
24,714.0,B5
25,714.0,C2
26,679.0,B2
27,684.0,C4
28,714.0,B3
29,669.0,D2
30,704.0,E4
31,664.0,B3
32,719.0,A4
33,714.0,D3
34,694.0,B3
35,664.0,E3
36,689.0,B1
37,704.0,C1
38,779.0,B2
39,684.0,D1
40,674.0,C2
41,699.0,C1
42,734.0,D2
43,669.0,C3
44,684.0,C4
45,719.0,C4
46,684.0,A5
47,699.0,B3
48,719.0,B5
49,759.0,B2
50,674.0,C2
51,674.0,D4
52,779.0,A3
53,664.0,D3
54,669.0,C4
55,674.0,B4
56,704.0,B5
57,689.0,B4
58,709.0,D5
59,744.0,B5
60,729.0,C1
61,664.0,C5
62,679.0,C1
63,674.0,C5
64,684.0,C5
65,694.0,C5
66,684.0,E5
67,664.0,D3
68,699.0,B5
69,794.0,A5
70,714.0,B3
71,769.0,F1
72,769.0,A5
73,674.0,C2
74,664.0,B3
75,694.0,C3
76,709.0,B3
77,724.0,D2
78,759.0,B2
79,709.0,C2
80,729.0,B2
81,674.0,E1
82,699.0,C3
83,694.0,B4
84,709.0,D5
85,694.0,B2
86,689.0,A5
87,724.0,C5
88,694.0,B3
89,739.0,E4
90,679.0,D4
91,724.0,D5
92,754.0,E2
93,679.0,D2
94,664.0,C1
95,699.0,D4
96,719.0,C3
97,674.0,C4
98,734.0,A3
99,709.0,B4
100,679.0,B5
101,664.0,B2
102,734.0,A5
103,729.0,D2
104,679.0,B4
105,699.0,C1
106,664.0,C2
107,694.0,C5
108,694.0,C3
109,714.0,C4
110,674.0,E1
111,669.0,C1
112,679.0,C1
113,684.0,C3
114,674.0,D1
115,664.0,G2
116,704.0,E1
117,669.0,D2
118,674.0,C1
119,704.0,D3
120,714.0,D3
121,674.0,C4
122,734.0,B1
123,674.0,C5
124,694.0,B3
125,689.0,C2
126,714.0,B5
127,704.0,B4
128,689.0,E1
129,684.0,D5
130,714.0,A5
131,709.0,A3
132,749.0,B4
133,664.0,D3
134,689.0,B5
135,674.0,B2
136,684.0,C1
137,674.0,B3
138,674.0,G1
139,679.0,F3
140,669.0,D5
141,664.0,D1
142,669.0,C2
143,689.0,A5
144,674.0,C1
145,664.0,D1
146,674.0,D5
147,684.0,D4
148,699.0,C5
149,674.0,B4
150,704.0,C1
151,759.0,B2
152,684.0,F2
153,694.0,C3
154,679.0,D2
155,684.0,B3
156,664.0,E1
157,739.0,B3
158,674.0,D2
159,669.0,E2
160,684.0,D4
161,704.0,C4
162,744.0,C1
163,734.0,A3
164,664.0,B5
165,684.0,C4
166,699.0,C3
167,669.0,D1
168,724.0,A1
169,749.0,E1
170,684.0,D3
171,669.0,C1
172,704.0,B1
173,734.0,B3
174,689.0,E1
175,709.0,A5
176,714.0,E1
177,674.0,B4
178,789.0,A1
179,729.0,A2
180,709.0,D4
181,684.0,D1
182,694.0,E2
183,724.0,B5
184,794.0,C2
185,704.0,E2
186,779.0,B3
187,714.0,F2
188,684.0,C5
189,669.0,B2
190,724.0,D1
191,724.0,B1
192,694.0,C5
193,694.0,D4
194,719.0,B3
195,699.0,D2
196,669.0,B5
197,699.0,C4
198,669.0,C5
199,674.0,D1
200,674.0,B5
201,699.0,B3
202,694.0,E2
203,679.0,C1
204,664.0,G3
205,744.0,B2
206,709.0,E1
207,684.0,C2
208,669.0,C3
209,699.0,B4
210,709.0,B1
211,744.0,B2
212,689.0,C1
213,699.0,E1
214,704.0,C3
215,664.0,C3
216,734.0,A3
217,694.0,C4
218,704.0,A3
219,679.0,C5
220,679.0,B4
221,674.0,D5
222,704.0,D1
223,699.0,C3
224,674.0,D5
225,699.0,B1
226,704.0,E1
227,664.0,D4
228,694.0,D3
229,714.0,G1
230,684.0,C2
231,679.0,D3
232,689.0,C3
233,709.0,A3
234,689.0,C3
235,674.0,D5
236,709.0,B5
237,724.0,E1
238,754.0,A4
239,669.0,E3
240,689.0,C5
241,699.0,D1
242,679.0,C1
243,694.0,D5
244,679.0,A5
245,689.0,D2
246,684.0,C4
247,674.0,D1
248,669.0,B4
249,689.0,F1
250,674.0,D2
251,719.0,C1
252,679.0,C2
253,774.0,E3
254,664.0,C2
255,669.0,C4
256,719.0,E1
257,729.0,A3
258,664.0,C5
259,719.0,A4
260,724.0,B5
261,739.0,F1
262,789.0,B4
263,679.0,C1
264,739.0,A5
265,689.0,B4
266,729.0,B5
267,674.0,C3
268,669.0,C2
269,689.0,B5
270,699.0,B5
271,674.0,D5
272,679.0,B3
273,754.0,A4
274,679.0,E5
275,704.0,B3
276,709.0,B1
277,674.0,C4
278,719.0,C5
279,689.0,B3
280,664.0,C2
281,669.0,C2
282,769.0,C1
283,669.0,C1
284,674.0,C4
285,669.0,B4
286,699.0,E2
287,734.0,B4
288,684.0,C1
289,714.0,E1
290,689.0,C1
291,679.0,C5
292,669.0,C1
293,704.0,C4
294,664.0,C2
295,709.0,B4
296,669.0,C3
297,734.0,D3
298,674.0,C4
299,664.0,B3
300,709.0,B5
301,669.0,D1
302,689.0,B4
303,709.0,C5
304,759.0,B4
305,669.0,C5
306,699.0,C1
307,679.0,C3
308,709.0,C2
309,679.0,C1
310,689.0,D3
311,669.0,E1
312,719.0,A1
313,689.0,C2
314,679.0,D1
315,744.0,B5
316,699.0,B4
317,724.0,C3
318,679.0,C2
319,669.0,B5
320,674.0,D3
321,714.0,C4
322,714.0,B3
323,679.0,C3
324,699.0,C1
325,704.0,C3
326,699.0,B1
327,709.0,B1
328,699.0,A4
329,719.0,B2
330,684.0,C1
331,679.0,D5
332,669.0,B1
333,759.0,B3
334,674.0,B1
335,684.0,C4
336,719.0,D4
337,674.0,C3
338,674.0,E1
339,684.0,C3
340,679.0,B5
341,664.0,C1
342,714.0,B2
343,664.0,A5
344,669.0,B2
345,664.0,F1
346,679.0,C2
347,714.0,A3
348,729.0,C1
349,804.0,A2
350,684.0,B3
351,664.0,B4
352,674.0,B1
353,664.0,C4
354,674.0,C2
355,734.0,B1
356,664.0,B1
357,744.0,D4
358,664.0,C2
359,669.0,B2
360,684.0,D1
361,684.0,E5
362,734.0,B1
363,669.0,B4
364,689.0,B4
365,674.0,C1
366,679.0,B1
367,689.0,C4
368,684.0,A5
369,664.0,C4
370,799.0,B1
371,689.0,B2
372,739.0,B1
373,734.0,B5
374,679.0,E4
375,684.0,C4
376,699.0,C1
377,664.0,C4
378,664.0,B4
379,709.0,D4
380,694.0,C4
381,699.0,A5
382,664.0,B3
383,714.0,E4
384,669.0,C1
385,734.0,C1
386,724.0,D4
387,719.0,C5
388,694.0,C5
389,674.0,B1
390,739.0,A1
391,689.0,A5
392,664.0,C1
393,724.0,B5
394,704.0,B1
395,664.0,D4
396,669.0,D5
397,674.0,D4
398,719.0,A4
399,664.0,D1
400,669.0,D2
401,664.0,E2
402,694.0,C3
403,714.0,B3
404,719.0,B4
405,709.0,B1
406,664.0,D1
407,669.0,D1
408,704.0,C2
409,764.0,A1
410,714.0,A4
411,739.0,A2
412,664.0,C4
413,734.0,C1
414,709.0,C1
415,834.0,A5
416,729.0,B1
417,679.0,D3
418,669.0,D2
419,674.0,E3
420,679.0,B4
421,669.0,C4
422,664.0,B3
423,679.0,D4
424,724.0,A2
425,714.0,C1
426,764.0,A2
427,669.0,E4
428,704.0,B5
429,669.0,E1
430,664.0,A4
431,674.0,E5
432,674.0,C4
433,689.0,C2
434,669.0,B1
435,679.0,B3
436,679.0,C2
437,704.0,C1
438,664.0,E5
439,664.0,F4
440,729.0,A4
441,674.0,B2
442,664.0,B1
443,694.0,E3
444,719.0,B1
445,709.0,D1
446,694.0,C1
447,694.0,D2
448,709.0,B5
449,699.0,B3
450,679.0,D5
451,739.0,C1
452,669.0,A3
453,724.0,C3
454,714.0,A3
455,664.0,D1
456,714.0,D1
457,689.0,A5
458,729.0,B4
459,824.0,B1
460,694.0,C2
461,714.0,A4
462,694.0,A4
463,744.0,C1
464,759.0,B1
465,724.0,A4
466,739.0,A1
467,669.0,D1
468,709.0,D4
469,684.0,B4
470,689.0,C3
471,689.0,A4
472,679.0,A5
473,674.0,C2
474,664.0,B4
475,664.0,C3
476,664.0,C1
477,779.0,A1
478,694.0,B4
479,674.0,D1
480,694.0,C3
481,679.0,C1
482,754.0,B3
483,759.0,B1
484,684.0,A4
485,694.0,F1
486,794.0,A5
487,714.0,A3
488,679.0,C3
489,699.0,B5
490,704.0,A5
491,669.0,D1
492,744.0,C2
493,699.0,C5
494,674.0,D1
495,699.0,B4
496,699.0,B1
497,704.0,A2
498,709.0,A1
499,729.0,E1
500,699.0,A3
501,704.0,B2
502,734.0,C4
503,724.0,C5
504,694.0,C2
505,679.0,B5
506,719.0,D4
507,679.0,C2
508,734.0,A5
509,689.0,D2
510,689.0,D5
511,709.0,B5
512,719.0,A1
513,714.0,B2
514,674.0,B4
515,694.0,D1
516,719.0,A1
517,674.0,D3
518,714.0,C1
519,734.0,A2
520,704.0,A5
521,749.0,A2
522,674.0,C3
523,669.0,D2
524,689.0,D2
525,709.0,A1
526,664.0,A5
527,674.0,F1
528,679.0,D4
529,679.0,D4
530,674.0,D1
531,704.0,A1
532,679.0,A4
533,684.0,D4
534,704.0,B2
535,824.0,A1
536,674.0,C4
537,704.0,A3
538,709.0,C5
539,699.0,B1
540,679.0,C2
541,704.0,D1
542,674.0,B3
543,669.0,B5
544,734.0,C3
545,674.0,B2
546,724.0,A1
547,674.0,D2
548,669.0,B5
549,684.0,B1
550,789.0,A2
551,694.0,A4
552,669.0,B3
553,674.0,C1
554,674.0,F2
555,729.0,E3
556,679.0,A2
557,664.0,F4
558,664.0,F1
559,674.0,C3
560,674.0,B3
561,744.0,B5
562,694.0,C2
563,689.0,D3
564,719.0,C1
565,709.0,A5
566,684.0,D2
567,699.0,B2
568,794.0,A2
569,674.0,D1
570,674.0,B4
571,709.0,D2
572,699.0,C4
573,674.0,A4
574,664.0,C3
575,679.0,B5
576,679.0,D5
577,669.0,B5
578,724.0,A5
579,699.0,B1
580,764.0,B1
581,704.0,E2
582,684.0,C3
583,679.0,B2
584,719.0,A3
585,704.0,B4
586,679.0,A3
587,694.0,F2
588,704.0,B5
589,684.0,C2
590,739.0,A1
591,694.0,B1
592,719.0,B3
593,669.0,B2
594,679.0,B4
595,689.0,B2
596,699.0,B5
597,674.0,D1
598,784.0,A1
599,739.0,B1
600,714.0,B5
601,694.0,B4
602,664.0,B5
603,759.0,B2
604,679.0,D1
605,664.0,C3
606,699.0,B3
607,679.0,C3
608,679.0,C2
609,719.0,A5
610,704.0,C1
611,674.0,E2
612,674.0,C5
613,734.0,C2
614,664.0,B1
615,689.0,C2
616,689.0,C3
617,794.0,A1
618,674.0,D5
619,664.0,A4
620,719.0,B1
621,664.0,B4
622,719.0,B5
623,664.0,B4
624,689.0,C5
625,769.0,A5
626,689.0,C1
627,774.0,C3
628,739.0,A4
629,669.0,A5
630,674.0,E3
631,754.0,C2
632,664.0,C3
633,709.0,A2
634,714.0,A5
635,694.0,C3
636,724.0,B3
637,699.0,B4
638,719.0,A2
639,749.0,B5
640,724.0,D4
641,684.0,C4
642,739.0,A2
643,669.0,E2
644,709.0,D2
645,689.0,A5
646,719.0,B3
647,669.0,D2
648,669.0,E4
649,669.0,E1
650,674.0,A4
651,689.0,C2
652,699.0,F4
653,734.0,B4
654,664.0,F4
655,689.0,B3
656,724.0,B3
657,669.0,A5
658,664.0,C5
659,689.0,D1
660,664.0,D3
661,749.0,A2
662,674.0,C2
663,679.0,C1
664,664.0,D1
665,714.0,A2
666,689.0,A3
667,769.0,A3
668,689.0,C3
669,684.0,B3
670,699.0,C4
671,694.0,B4
672,709.0,A1
673,694.0,B4
674,664.0,B2
675,709.0,B4
676,704.0,C2
677,669.0,B1
678,674.0,D1
679,674.0,B5
680,689.0,C5
681,699.0,B4
682,779.0,B3
683,684.0,E1
684,689.0,B1
685,759.0,B4
686,684.0,C2
687,809.0,A4
688,699.0,C1
689,779.0,C5
690,664.0,B5
691,704.0,A1
692,794.0,A3
693,689.0,C2
694,754.0,A5
695,679.0,B2
696,674.0,D5
697,719.0,A3
698,734.0,A5
699,724.0,A5
700,714.0,A5
701,664.0,D5
702,664.0,D5
703,714.0,C4
704,709.0,B2
705,729.0,C5
706,674.0,B5
707,664.0,B5
708,699.0,C1
709,674.0,C4
710,689.0,D1
711,674.0,C3
712,669.0,E4
713,674.0,D4
714,694.0,B3
715,674.0,C3
716,664.0,C1
717,684.0,A2
718,674.0,D4
719,679.0,C5
720,719.0,D4
721,694.0,C4
722,699.0,B5
723,709.0,B3
724,669.0,E2
725,679.0,A3
726,674.0,C1
727,709.0,C5
728,724.0,B2
729,669.0,D1
730,689.0,B2
731,749.0,A2
732,769.0,A2
733,669.0,D2
734,664.0,D2
735,719.0,B2
736,724.0,C1
737,749.0,B4
738,699.0,C3
739,669.0,B2
740,674.0,B4
741,664.0,C2
742,664.0,C3
743,674.0,A5
744,714.0,A5
745,689.0,C1
746,724.0,B2
747,794.0,A4
748,709.0,C3
749,719.0,B5
750,664.0,D1
751,674.0,C4
752,664.0,C2
753,689.0,D2
754,664.0,C1
755,729.0,B4
756,664.0,C4
757,674.0,C4
758,664.0,A5
759,719.0,B1
760,684.0,A4
761,739.0,C1
762,689.0,C1
763,709.0,A4
764,729.0,A5
765,739.0,B1
766,719.0,A4
767,679.0,A3
768,689.0,B2
769,689.0,C5
770,754.0,A3
771,674.0,B4
772,719.0,D2
773,744.0,B3
774,694.0,B1
775,684.0,B5
776,709.0,B3
777,719.0,A4
778,689.0,C1
779,794.0,E3
780,724.0,B1
781,679.0,C1
782,684.0,C1
783,719.0,B2
784,669.0,C3
785,664.0,D1
786,699.0,A3
787,664.0,B2
788,694.0,B1
789,684.0,A5
790,684.0,A5
791,664.0,C2
792,694.0,A3
793,674.0,B5
794,744.0,A2
795,709.0,C5
796,664.0,C5
797,664.0,D1
798,739.0,B2
799,684.0,A4
800,714.0,B3
801,689.0,D1
802,729.0,B3
803,669.0,B2
804,679.0,B5
805,709.0,C1
806,699.0,E4
807,669.0,B3
808,709.0,D1
809,714.0,B2
810,734.0,A3
811,674.0,B1
812,689.0,E1
813,684.0,B3
814,719.0,C4
815,709.0,C3
816,664.0,E1
817,674.0,C2
818,674.0,D1
819,724.0,C5
820,724.0,A1
821,774.0,A4
822,719.0,B4
823,684.0,C5
824,694.0,A2
825,709.0,C3
826,694.0,B2
827,684.0,B2
828,719.0,B2
829,664.0,B5
830,729.0,A3
831,714.0,D2
832,689.0,B2
833,694.0,B1
834,704.0,C1
835,694.0,F3
836,674.0,D5
837,694.0,A2
838,739.0,B1
839,684.0,D5
840,709.0,A5
841,734.0,B4
842,689.0,B2
843,664.0,C2
844,674.0,C5
845,674.0,C5
846,719.0,B4
847,679.0,B5
848,759.0,B3
849,749.0,F2
850,694.0,B4
851,729.0,C3
852,674.0,B3
853,679.0,B5
854,799.0,B1
855,694.0,C4
856,729.0,A3
857,684.0,D1
858,664.0,C4
859,729.0,B4
860,729.0,A5
861,684.0,B2
862,709.0,A5
863,689.0,B2
864,679.0,C1
865,699.0,F4
866,674.0,C3
867,679.0,C1
868,694.0,C3
869,724.0,E1
870,684.0,B2
871,679.0,C3
872,669.0,A5
873,669.0,A2
874,679.0,E1
875,699.0,A5
876,684.0,B3
877,699.0,C2
878,669.0,C3
879,699.0,A2
880,669.0,D3
881,719.0,A2
882,719.0,A1
883,719.0,A2
884,734.0,C1
885,739.0,C1
886,674.0,B1
887,719.0,C2
888,759.0,A3
889,674.0,B4
890,704.0,C4
891,694.0,A4
892,694.0,C1
893,689.0,B5
894,789.0,A4
895,729.0,D3
896,679.0,D4
897,689.0,D2
898,734.0,B4
899,664.0,B5
900,714.0,A5
901,669.0,B1
902,704.0,C2
903,679.0,E2
904,679.0,C4
905,734.0,B1
906,709.0,C2
907,669.0,C4
908,694.0,A4
909,709.0,A4
910,694.0,B3
911,784.0,A4
912,709.0,C2
913,699.0,B4
914,774.0,A5
915,664.0,C4
916,679.0,C3
917,679.0,A5
918,694.0,A2
919,694.0,D5
920,719.0,B1
921,679.0,E1
922,689.0,D4
923,699.0,A5
924,719.0,A3
925,669.0,A4
926,674.0,D4
927,759.0,D2
928,674.0,D3
929,699.0,B1
930,669.0,B4
931,729.0,B3
932,714.0,B5
933,734.0,A2
934,669.0,F2
935,764.0,B1
936,669.0,D3
937,714.0,C3
938,664.0,C4
939,699.0,E3
940,694.0,C2
941,704.0,B2
942,664.0,C1
943,694.0,C2
944,694.0,B5
945,694.0,A4
946,729.0,F1
947,664.0,C4
948,714.0,A3
949,674.0,B5
950,664.0,A5
951,679.0,C2
952,719.0,B1
953,724.0,C5
954,734.0,B1
955,724.0,A2
956,664.0,A5
957,669.0,C2
958,694.0,C2
959,729.0,A2
960,724.0,B2
961,694.0,C2
962,674.0,E2
963,699.0,B1
964,724.0,A2
965,754.0,A1
966,664.0,C5
967,699.0,B1
968,704.0,A1
969,739.0,B3
970,699.0,D4
971,664.0,B5
972,724.0,A2
973,669.0,B1
974,664.0,E5
975,834.0,A1
976,829.0,A5
977,724.0,B4
978,664.0,A4
979,704.0,D3
980,674.0,B5
981,694.0,C5
982,714.0,D2
983,669.0,B3
984,749.0,B5
985,689.0,C4
986,664.0,C2
987,679.0,C3
988,674.0,C3
989,684.0,B4
990,814.0,A2
991,684.0,D1
992,694.0,B3
993,669.0,E1
994,734.0,A3
995,709.0,D4
996,719.0,C4
997,704.0,E3
998,769.0,A5
999,729.0,C5
