id,acc_open_past_24mths,mo_sin_old_il_acct,mo_sin_rcnt_tl,open_acc_6m,mths_since_rcnt_il,chargeoff_within_12_mths,collections_12_mths_ex_med,delinq_2yrs,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,open_il_12m,open_il_24m,avg_cur_bal,percent_bc_gt_75,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_rv_12m,open_rv_24m,earliest_cr_line
0,5.0,103.0,1.0,,,0.0,0.0,0.0,244.0,1.0,,,29828.0,0.0,0.0,0.0,0.0,4.0,,,Aug-1994
1,7.0,76.0,1.0,,,0.0,0.0,0.0,290.0,1.0,,,9536.0,14.3,0.0,0.0,0.0,4.0,,,Sep-1989
2,4.0,135.0,7.0,,,0.0,0.0,0.0,136.0,7.0,,,4232.0,100.0,0.0,0.0,0.0,2.0,,,Aug-2003
3,2.0,16.0,16.0,,,0.0,0.0,1.0,170.0,21.0,,,32727.0,100.0,0.0,0.0,0.0,0.0,,,Oct-2000
4,6.0,137.0,8.0,,,0.0,0.0,0.0,148.0,8.0,,,5857.0,100.0,0.0,0.0,0.0,2.0,,,Aug-2002
5,8.0,183.0,3.0,,,0.0,0.0,0.0,265.0,23.0,,,3214.0,60.0,0.0,0.0,0.0,3.0,,,Nov-1992
6,6.0,158.0,6.0,,,0.0,0.0,0.0,148.0,24.0,,,44136.0,66.7,0.0,0.0,0.0,1.0,,,Oct-2001
7,3.0,121.0,17.0,,,0.0,0.0,1.0,133.0,17.0,,,53392.0,66.7,0.0,0.0,0.0,0.0,,,Nov-2003
8,6.0,132.0,12.0,,,0.0,0.0,1.0,194.0,15.0,,,39356.0,66.7,0.0,0.0,0.0,1.0,,,Oct-1998
9,4.0,33.0,6.0,,,0.0,0.0,0.0,67.0,12.0,,,1267.0,0.0,0.0,0.0,0.0,2.0,,,May-2009
10,0.0,137.0,31.0,,,0.0,0.0,0.0,124.0,40.0,,,4745.0,100.0,0.0,0.0,0.0,0.0,,,Jul-2003
11,7.0,191.0,2.0,,,0.0,0.0,0.0,122.0,2.0,,,1571.0,0.0,0.0,0.0,0.0,4.0,,,Jan-1999
12,2.0,93.0,10.0,,,0.0,0.0,0.0,167.0,21.0,,,17456.0,100.0,0.0,0.0,0.0,1.0,,,Jan-2001
13,0.0,160.0,30.0,,,0.0,0.0,0.0,205.0,30.0,,,20175.0,100.0,0.0,0.0,0.0,0.0,,,Nov-1987
14,5.0,129.0,14.0,,,0.0,0.0,3.0,305.0,15.0,,,40153.0,100.0,0.0,0.0,0.0,0.0,,,Jul-1989
15,6.0,27.0,4.0,,,0.0,0.0,0.0,219.0,8.0,,,2054.0,83.3,0.0,0.0,0.0,4.0,,,Sep-1996
16,2.0,234.0,3.0,,,0.0,0.0,0.0,138.0,27.0,,,3258.0,100.0,0.0,0.0,0.0,1.0,,,Jun-1995
17,6.0,136.0,3.0,,,0.0,0.0,2.0,252.0,3.0,,,2149.0,100.0,0.0,0.0,0.0,3.0,,,Dec-1993
18,3.0,55.0,3.0,,,0.0,0.0,0.0,58.0,3.0,,,1314.0,0.0,0.0,0.0,0.0,1.0,,,Feb-2010
19,4.0,89.0,1.0,,,0.0,0.0,0.0,52.0,1.0,,,2310.0,100.0,0.0,0.0,0.0,4.0,,,Jul-2007
20,6.0,76.0,5.0,,,0.0,0.0,0.0,102.0,10.0,,,15799.0,25.0,0.0,0.0,0.0,3.0,,,Jun-2006
21,3.0,79.0,13.0,,,0.0,0.0,0.0,181.0,13.0,,,3822.0,50.0,0.0,0.0,0.0,0.0,,,Nov-1999
22,4.0,131.0,5.0,,,0.0,0.0,0.0,155.0,5.0,,,21171.0,100.0,0.0,0.0,0.0,3.0,,,Jan-2002
23,6.0,108.0,4.0,,,0.0,0.0,0.0,148.0,4.0,,,992.0,100.0,0.0,0.0,0.0,2.0,,,Aug-2002
24,2.0,,8.0,,,0.0,0.0,0.0,162.0,8.0,,,18583.0,25.0,0.0,0.0,0.0,1.0,,,Jun-2001
25,3.0,39.0,18.0,,,0.0,0.0,0.0,150.0,18.0,,,57.0,0.0,0.0,0.0,0.0,0.0,,,Nov-1998
26,10.0,92.0,1.0,,,0.0,0.0,0.0,90.0,30.0,,,6631.0,75.0,0.0,0.0,0.0,6.0,,,Apr-2007
27,8.0,141.0,6.0,,,0.0,0.0,0.0,100.0,12.0,,,23779.0,66.7,,0.0,0.0,3.0,,,Mar-2003
28,5.0,181.0,1.0,,,0.0,0.0,0.0,244.0,1.0,,,21760.0,14.3,0.0,0.0,0.0,1.0,,,Aug-1994
29,7.0,92.0,6.0,,,0.0,0.0,0.0,153.0,12.0,,,3049.0,100.0,0.0,0.0,0.0,3.0,,,Mar-2002
30,7.0,44.0,3.0,,,0.0,0.0,0.0,109.0,12.0,,,14780.0,66.7,0.0,0.0,0.0,2.0,,,Nov-2005
31,5.0,137.0,1.0,,,0.0,0.0,0.0,161.0,1.0,,,11481.0,,0.0,0.0,0.0,2.0,,,Jul-2001
32,5.0,170.0,3.0,,,0.0,0.0,0.0,78.0,3.0,,,9113.0,0.0,0.0,0.0,0.0,3.0,,,Oct-2000
33,3.0,122.0,3.0,,,0.0,0.0,0.0,143.0,86.0,,,8527.0,50.0,0.0,0.0,0.0,3.0,,,Jan-2003
34,12.0,125.0,1.0,,,0.0,0.0,0.0,127.0,14.0,,,8926.0,,0.0,0.0,0.0,5.0,,,Mar-2003
35,8.0,96.0,1.0,,,0.0,0.0,0.0,42.0,6.0,,,1615.0,20.0,0.0,0.0,0.0,5.0,,,Dec-2006
36,3.0,219.0,3.0,,,0.0,0.0,0.0,163.0,49.0,,,85770.0,100.0,0.0,0.0,0.0,3.0,,,Sep-1996
37,3.0,88.0,14.0,,,0.0,0.0,0.0,89.0,14.0,,,59221.0,100.0,0.0,0.0,0.0,0.0,,,Jul-2007
38,1.0,164.0,20.0,,,0.0,0.0,0.0,399.0,32.0,,,22200.0,25.0,0.0,0.0,0.0,0.0,,,Sep-1981
39,3.0,228.0,5.0,,,0.0,0.0,0.0,115.0,5.0,,,16800.0,36.4,0.0,0.0,0.0,2.0,,,Dec-1995
40,3.0,171.0,12.0,,,1.0,0.0,2.0,126.0,18.0,,,25385.0,50.0,0.0,0.0,1.0,1.0,,,Sep-2000
41,3.0,36.0,6.0,,,0.0,0.0,1.0,273.0,20.0,,,3000.0,50.0,0.0,0.0,0.0,1.0,,,Mar-1992
42,3.0,4.0,4.0,,,0.0,0.0,0.0,45.0,9.0,,,2271.0,0.0,0.0,0.0,0.0,2.0,,,Mar-2011
43,6.0,118.0,9.0,,,0.0,0.0,0.0,129.0,10.0,,,515.0,33.3,0.0,0.0,0.0,2.0,,,Mar-2004
44,3.0,86.0,4.0,,,0.0,0.0,0.0,26.0,4.0,,,5843.0,100.0,0.0,0.0,0.0,2.0,,,Oct-2007
45,9.0,81.0,3.0,,,0.0,0.0,0.0,101.0,3.0,,,13956.0,20.0,0.0,0.0,0.0,3.0,,,Aug-2000
46,2.0,128.0,7.0,,,0.0,0.0,0.0,145.0,43.0,,,32113.0,100.0,0.0,0.0,0.0,1.0,,,Jul-2002
47,11.0,154.0,2.0,,,0.0,0.0,0.0,237.0,2.0,,,11668.0,50.0,0.0,0.0,0.0,4.0,,,Mar-1995
48,0.0,120.0,50.0,,,0.0,0.0,0.0,134.0,58.0,,,11708.0,100.0,0.0,0.0,0.0,0.0,,,Oct-2003
49,2.0,142.0,12.0,,,0.0,0.0,0.0,300.0,22.0,,,12637.0,33.3,0.0,0.0,0.0,1.0,,,Jan-1981
50,2.0,133.0,1.0,,,0.0,0.0,0.0,189.0,51.0,,,6652.0,100.0,0.0,0.0,0.0,2.0,,,Mar-1999
51,2.0,147.0,6.0,,,0.0,0.0,0.0,130.0,6.0,,,39085.0,100.0,0.0,0.0,0.0,1.0,,,Sep-2002
52,3.0,50.0,6.0,,,0.0,0.0,0.0,153.0,18.0,,,4946.0,50.0,0.0,0.0,0.0,1.0,,,Mar-2002
53,14.0,7.0,1.0,,,0.0,0.0,0.0,76.0,1.0,,,783.0,44.4,0.0,0.0,0.0,3.0,,,Aug-2008
54,1.0,51.0,6.0,,,0.0,0.0,1.0,91.0,6.0,,,2293.0,66.7,0.0,0.0,0.0,1.0,,,May-2007
55,6.0,86.0,11.0,,,0.0,0.0,0.0,100.0,15.0,,,3871.0,100.0,0.0,0.0,0.0,1.0,,,Aug-2006
56,4.0,152.0,3.0,,,0.0,0.0,0.0,203.0,3.0,,,6958.0,50.0,0.0,0.0,0.0,3.0,,,Jan-1998
57,7.0,170.0,1.0,,,0.0,0.0,0.0,222.0,1.0,,,3065.0,16.7,0.0,0.0,0.0,2.0,,,Jun-1996
58,5.0,115.0,4.0,,,0.0,0.0,0.0,126.0,4.0,,,4283.0,25.0,0.0,0.0,0.0,3.0,,,Jun-2004
59,1.0,161.0,11.0,,,0.0,0.0,0.0,304.0,11.0,,,59326.0,100.0,0.0,0.0,0.0,1.0,,,Aug-1989
60,0.0,137.0,9.0,,,0.0,0.0,0.0,453.0,58.0,,,12637.0,0.0,,0.0,0.0,0.0,,,Mar-1977
61,6.0,167.0,3.0,,,0.0,0.0,0.0,214.0,8.0,,,1440.0,100.0,0.0,0.0,0.0,2.0,,,Feb-1997
62,2.0,139.0,23.0,,,0.0,0.0,0.0,305.0,23.0,,,24167.0,40.0,0.0,0.0,0.0,0.0,,,Jul-1989
63,5.0,50.0,14.0,,,0.0,0.0,0.0,47.0,15.0,,,3171.0,100.0,0.0,0.0,0.0,0.0,,,Oct-2010
64,3.0,116.0,12.0,,,0.0,0.0,0.0,393.0,12.0,,,16382.0,60.0,0.0,0.0,0.0,1.0,,,Mar-1982
65,5.0,152.0,3.0,,,0.0,0.0,0.0,254.0,3.0,,,18235.0,85.7,0.0,0.0,0.0,5.0,,,Oct-1993
66,10.0,132.0,2.0,,,0.0,0.0,0.0,158.0,3.0,,,52121.0,80.0,0.0,0.0,0.0,8.0,,,Oct-2001
67,4.0,123.0,4.0,,,0.0,0.0,0.0,147.0,4.0,,,7459.0,33.3,0.0,0.0,0.0,2.0,,,Sep-2002
68,1.0,124.0,5.0,,,0.0,0.0,0.0,117.0,5.0,,,5577.0,25.0,0.0,0.0,0.0,1.0,,,Aug-2004
69,2.0,128.0,17.0,,,0.0,0.0,0.0,220.0,36.0,,,7796.0,0.0,0.0,0.0,0.0,0.0,,,Aug-1996
70,7.0,166.0,11.0,,,0.0,0.0,0.0,361.0,11.0,,,36287.0,20.0,0.0,0.0,0.0,2.0,,,Nov-1984
71,10.0,123.0,1.0,,,0.0,0.0,0.0,332.0,2.0,,,3726.0,0.0,0.0,0.0,0.0,8.0,,,Apr-1987
72,5.0,312.0,5.0,,,0.0,0.0,0.0,271.0,5.0,,,6697.0,0.0,0.0,0.0,0.0,3.0,,,Dec-1988
73,4.0,122.0,1.0,,,0.0,0.0,0.0,129.0,1.0,,,3392.0,80.0,0.0,0.0,0.0,3.0,,,Mar-2004
74,5.0,224.0,6.0,,,0.0,0.0,0.0,172.0,6.0,,,1974.0,33.3,0.0,0.0,0.0,3.0,,,Feb-1994
75,7.0,178.0,3.0,,,0.0,0.0,0.0,228.0,3.0,,,3209.0,60.0,0.0,0.0,0.0,4.0,,,Dec-1995
76,5.0,100.0,1.0,,,0.0,0.0,1.0,28.0,1.0,,,9678.0,0.0,0.0,0.0,0.0,4.0,,,Aug-2006
77,8.0,136.0,2.0,,,0.0,0.0,0.0,221.0,2.0,,,1966.0,0.0,0.0,0.0,0.0,6.0,,,Jul-1996
78,0.0,160.0,27.0,,,0.0,0.0,1.0,260.0,56.0,,,7014.0,0.0,0.0,0.0,0.0,0.0,,,Apr-1993
79,2.0,176.0,1.0,,,0.0,0.0,0.0,134.0,1.0,,,24909.0,25.0,0.0,0.0,0.0,1.0,,,Apr-2000
80,6.0,150.0,8.0,,,0.0,0.0,0.0,194.0,19.0,,,41953.0,100.0,0.0,0.0,0.0,2.0,,,Oct-1998
81,2.0,26.0,2.0,,,0.0,0.0,0.0,182.0,2.0,,,3966.0,100.0,0.0,0.0,0.0,2.0,,,Oct-1999
82,5.0,73.0,6.0,,,0.0,0.0,0.0,177.0,6.0,,,5138.0,20.0,0.0,0.0,0.0,3.0,,,Mar-2000
83,6.0,127.0,7.0,,,0.0,0.0,0.0,117.0,8.0,,,11173.0,33.3,0.0,0.0,0.0,2.0,,,May-2004
84,4.0,122.0,12.0,,,0.0,0.0,0.0,140.0,12.0,,,3946.0,100.0,0.0,0.0,0.0,1.0,,,Apr-2003
85,8.0,148.0,5.0,,,0.0,0.0,0.0,259.0,6.0,,,55958.0,50.0,0.0,0.0,0.0,6.0,,,May-1993
86,3.0,120.0,10.0,,,0.0,1.0,0.0,141.0,12.0,,,16156.0,57.1,0.0,0.0,0.0,2.0,,,Mar-2003
87,3.0,94.0,3.0,,,0.0,0.0,0.0,113.0,3.0,,,1378.0,0.0,0.0,0.0,0.0,2.0,,,Jul-2005
88,2.0,171.0,8.0,,,0.0,0.0,0.0,327.0,8.0,,,1682.0,75.0,0.0,0.0,0.0,1.0,,,Sep-1987
89,4.0,159.0,7.0,,,0.0,0.0,0.0,116.0,38.0,,,24111.0,0.0,0.0,0.0,0.0,4.0,,,Sep-2001
90,6.0,301.0,7.0,,,0.0,0.0,1.0,184.0,7.0,,,25064.0,50.0,0.0,0.0,0.0,2.0,,,Nov-1989
91,6.0,27.0,1.0,,,0.0,0.0,1.0,89.0,1.0,,,1694.0,0.0,0.0,0.0,0.0,3.0,,,Jul-2007
92,5.0,58.0,3.0,,,0.0,0.0,0.0,60.0,15.0,,,7549.0,0.0,0.0,0.0,0.0,2.0,,,Dec-2009
93,10.0,151.0,3.0,,,0.0,0.0,0.0,219.0,3.0,,,3738.0,0.0,0.0,0.0,0.0,5.0,,,Sep-1996
94,7.0,125.0,9.0,,,0.0,0.0,0.0,136.0,12.0,,,7380.0,33.3,0.0,0.0,0.0,5.0,,,Jan-2003
95,3.0,159.0,17.0,,,0.0,0.0,0.0,151.0,17.0,,,1647.0,0.0,0.0,0.0,0.0,0.0,,,Sep-2001
96,2.0,162.0,0.0,,,0.0,0.0,0.0,117.0,0.0,,,2679.0,0.0,0.0,0.0,0.0,1.0,,,Jun-2001
97,3.0,278.0,5.0,,,0.0,0.0,0.0,216.0,8.0,,,37065.0,100.0,0.0,0.0,0.0,2.0,,,Oct-1991
98,2.0,127.0,17.0,,,0.0,0.0,0.0,248.0,17.0,,,26301.0,57.1,0.0,0.0,0.0,0.0,,,Apr-1994
99,6.0,153.0,2.0,,,0.0,0.0,0.0,95.0,2.0,,,17859.0,100.0,0.0,0.0,0.0,2.0,,,Mar-2002
100,3.0,105.0,3.0,,,0.0,0.0,0.0,35.0,6.0,,,4127.0,100.0,0.0,0.0,0.0,3.0,,,Mar-2006
101,2.0,150.0,5.0,,,0.0,0.0,4.0,305.0,28.0,,,9365.0,100.0,0.0,0.0,0.0,2.0,,,Jul-1989
102,3.0,88.0,12.0,,,0.0,0.0,0.0,141.0,18.0,,,10990.0,0.0,0.0,0.0,0.0,1.0,,,Oct-1970
103,4.0,256.0,3.0,,,0.0,0.0,0.0,313.0,3.0,,,1080.0,50.0,0.0,0.0,0.0,2.0,,,Nov-1988
104,5.0,140.0,8.0,,,1.0,0.0,1.0,360.0,8.0,,,32595.0,40.0,1.0,0.0,1.0,1.0,,,Dec-1984
105,1.0,99.0,9.0,,,0.0,0.0,2.0,193.0,30.0,,,21815.0,100.0,0.0,0.0,1.0,1.0,,,Nov-1998
106,3.0,108.0,2.0,,,0.0,0.0,6.0,127.0,2.0,,,18759.0,25.0,0.0,0.0,0.0,2.0,,,Dec-2001
107,11.0,180.0,3.0,,,0.0,0.0,0.0,116.0,3.0,,,5961.0,7.7,0.0,0.0,0.0,8.0,,,Dec-1999
108,5.0,94.0,1.0,,,0.0,0.0,0.0,91.0,1.0,,,7743.0,20.0,0.0,0.0,0.0,4.0,,,Dec-2006
109,5.0,141.0,4.0,,,0.0,0.0,0.0,351.0,4.0,,,44386.0,50.0,0.0,0.0,0.0,4.0,,,Sep-1985
110,10.0,121.0,7.0,,,0.0,0.0,0.0,168.0,16.0,,,17560.0,66.7,0.0,0.0,0.0,2.0,,,Dec-2000
111,6.0,50.0,3.0,,,0.0,0.0,0.0,52.0,3.0,,,2128.0,50.0,0.0,0.0,0.0,2.0,,,Aug-2010
112,2.0,104.0,9.0,,,0.0,0.0,0.0,149.0,9.0,,,3836.0,25.0,0.0,0.0,0.0,1.0,,,Jul-2002
113,3.0,53.0,3.0,,,0.0,0.0,0.0,66.0,3.0,,,33216.0,100.0,0.0,0.0,0.0,2.0,,,Jun-2009
114,3.0,94.0,4.0,,,0.0,0.0,0.0,110.0,8.0,,,28154.0,66.7,0.0,0.0,0.0,2.0,,,Oct-2005
115,16.0,161.0,1.0,,,0.0,0.0,0.0,302.0,1.0,,,7583.0,50.0,0.0,0.0,0.0,6.0,,,Oct-1989
116,8.0,160.0,2.0,,,0.0,0.0,0.0,336.0,4.0,,,4577.0,100.0,0.0,0.0,0.0,4.0,,,Dec-1986
117,1.0,149.0,4.0,,,0.0,0.0,1.0,500.0,31.0,,,645.0,25.0,0.0,0.0,0.0,1.0,,,Apr-1973
118,9.0,43.0,4.0,,,0.0,0.0,0.0,47.0,4.0,,,1859.0,0.0,0.0,0.0,0.0,5.0,,,Feb-2002
119,7.0,125.0,6.0,,,0.0,0.0,0.0,293.0,6.0,,,29597.0,40.0,0.0,0.0,0.0,4.0,,,Jul-1990
120,13.0,87.0,1.0,,,0.0,0.0,0.0,84.0,1.0,,,17743.0,0.0,0.0,0.0,0.0,9.0,,,Sep-2007
121,3.0,,20.0,,,0.0,0.0,0.0,104.0,20.0,,,2013.0,75.0,0.0,0.0,0.0,0.0,,,Apr-2006
122,8.0,130.0,7.0,,,0.0,0.0,0.0,179.0,7.0,,,10572.0,0.0,0.0,0.0,0.0,5.0,,,Jan-2000
123,5.0,124.0,4.0,,,0.0,0.0,0.0,130.0,22.0,,,6710.0,100.0,0.0,0.0,0.0,2.0,,,Feb-2004
124,4.0,129.0,9.0,,,0.0,0.0,0.0,129.0,9.0,,,4012.0,66.7,0.0,0.0,0.0,2.0,,,Mar-2004
125,3.0,156.0,7.0,,,0.0,0.0,0.0,131.0,7.0,,,7512.0,60.0,0.0,0.0,0.0,2.0,,,Dec-2001
126,8.0,66.0,9.0,,,0.0,0.0,0.0,79.0,9.0,,,5052.0,50.0,0.0,0.0,0.0,4.0,,,May-2008
127,3.0,87.0,6.0,,,0.0,0.0,0.0,264.0,6.0,,,96695.0,33.3,0.0,0.0,0.0,3.0,,,Nov-1991
128,4.0,123.0,5.0,,,0.0,0.0,0.0,152.0,5.0,,,15232.0,50.0,0.0,0.0,0.0,3.0,,,Apr-2002
129,7.0,194.0,3.0,,,0.0,0.0,0.0,35.0,3.0,,,3418.0,100.0,0.0,0.0,0.0,4.0,,,Oct-1998
130,9.0,138.0,1.0,,,0.0,0.0,0.0,79.0,1.0,,,5144.0,10.0,0.0,0.0,0.0,9.0,,,Jun-2003
131,3.0,136.0,5.0,,,0.0,0.0,0.0,165.0,5.0,,,105412.0,0.0,0.0,0.0,0.0,1.0,,,Mar-2001
132,5.0,149.0,3.0,,,0.0,0.0,0.0,216.0,3.0,,,14716.0,,0.0,0.0,0.0,3.0,,,Dec-1996
133,10.0,174.0,2.0,,,0.0,0.0,5.0,169.0,29.0,,,3790.0,,0.0,0.0,1.0,4.0,,,Jun-2000
134,5.0,68.0,2.0,,,0.0,0.0,0.0,135.0,5.0,,,2968.0,16.7,0.0,0.0,0.0,3.0,,,Sep-2003
135,2.0,142.0,9.0,,,0.0,0.0,0.0,394.0,63.0,,,50819.0,100.0,0.0,0.0,0.0,2.0,,,Feb-1982
136,9.0,136.0,1.0,,,0.0,0.0,0.0,105.0,1.0,,,18565.0,0.0,0.0,0.0,0.0,5.0,,,Aug-2003
137,5.0,86.0,7.0,,,0.0,0.0,0.0,340.0,7.0,,,54296.0,100.0,0.0,0.0,0.0,3.0,,,Aug-1986
138,4.0,139.0,14.0,,,0.0,0.0,0.0,166.0,132.0,,,8827.0,20.0,0.0,0.0,0.0,0.0,,,Feb-2001
139,5.0,147.0,10.0,,,0.0,0.0,0.0,204.0,12.0,,,5200.0,100.0,0.0,0.0,0.0,2.0,,,Dec-1997
140,10.0,169.0,4.0,,,0.0,0.0,0.0,37.0,4.0,,,13475.0,87.5,0.0,0.0,0.0,5.0,,,Nov-2000
141,6.0,57.0,15.0,,,0.0,0.0,0.0,46.0,15.0,,,2428.0,60.0,0.0,0.0,0.0,0.0,,,Mar-2010
142,0.0,172.0,55.0,,,0.0,0.0,1.0,142.0,65.0,,,23483.0,100.0,0.0,0.0,1.0,0.0,,,Aug-2000
143,3.0,,7.0,,,0.0,0.0,0.0,301.0,7.0,,,6954.0,20.0,0.0,0.0,0.0,1.0,,,Nov-1989
144,2.0,105.0,7.0,,,0.0,0.0,5.0,99.0,32.0,,,3621.0,66.7,0.0,0.0,4.0,2.0,,,Mar-2006
145,10.0,118.0,0.0,,,0.0,0.0,0.0,124.0,0.0,,,1744.0,37.5,0.0,0.0,0.0,4.0,,,Aug-2004
146,6.0,142.0,3.0,,,0.0,0.0,1.0,162.0,3.0,,,4973.0,50.0,0.0,0.0,0.0,4.0,,,Jun-2001
147,4.0,103.0,5.0,,,0.0,0.0,0.0,157.0,5.0,,,7660.0,100.0,0.0,0.0,0.0,1.0,,,Nov-2001
148,14.0,156.0,2.0,,,0.0,0.0,0.0,170.0,3.0,,,3295.0,22.2,0.0,0.0,0.0,7.0,,,Oct-2000
149,9.0,158.0,7.0,,,0.0,0.0,0.0,221.0,7.0,,,14278.0,55.6,0.0,0.0,0.0,3.0,,,Jul-1996
150,3.0,105.0,13.0,,,0.0,0.0,0.0,158.0,13.0,,,13922.0,100.0,0.0,0.0,0.0,0.0,,,Aug-1999
151,0.0,160.0,35.0,,,0.0,0.0,0.0,136.0,50.0,,,3453.0,50.0,0.0,0.0,0.0,0.0,,,Aug-2001
152,4.0,118.0,6.0,,,0.0,0.0,1.0,131.0,6.0,,,22525.0,50.0,0.0,0.0,0.0,3.0,,,May-1999
153,5.0,116.0,5.0,,,0.0,0.0,0.0,158.0,5.0,,,8090.0,100.0,0.0,0.0,0.0,2.0,,,Oct-2001
154,5.0,98.0,5.0,,,0.0,0.0,0.0,39.0,6.0,,,3280.0,20.0,0.0,0.0,0.0,4.0,,,Oct-2006
155,3.0,169.0,4.0,,,0.0,0.0,1.0,152.0,10.0,,,12000.0,66.7,0.0,0.0,0.0,2.0,,,Nov-2000
156,3.0,91.0,8.0,,,0.0,0.0,0.0,151.0,12.0,,,2636.0,0.0,0.0,0.0,0.0,2.0,,,May-2002
157,5.0,102.0,3.0,,,0.0,0.0,0.0,154.0,3.0,,,19468.0,16.7,0.0,0.0,0.0,4.0,,,Feb-2002
158,10.0,24.0,2.0,,,0.0,0.0,0.0,173.0,2.0,,,2551.0,66.7,0.0,0.0,0.0,6.0,,,Jul-2000
159,5.0,234.0,2.0,,,0.0,0.0,0.0,264.0,2.0,,,4020.0,66.7,0.0,0.0,0.0,4.0,,,Apr-1976
160,6.0,21.0,12.0,,,0.0,0.0,0.0,81.0,12.0,,,2288.0,100.0,0.0,0.0,0.0,1.0,,,Mar-2008
161,2.0,207.0,12.0,,,0.0,0.0,0.0,88.0,15.0,,,4293.0,50.0,0.0,0.0,0.0,1.0,,,Sep-1997
162,0.0,104.0,26.0,,,0.0,0.0,0.0,110.0,26.0,,,113411.0,100.0,0.0,0.0,0.0,0.0,,,Mar-1987
163,4.0,124.0,15.0,,,0.0,0.0,0.0,122.0,17.0,,,22206.0,50.0,0.0,0.0,0.0,0.0,,,Aug-2004
